query_id,doc_id,relevance,iteration
1793,D395039,1,0
6580,D148860,1,0
7429,D2108525,1,0
7898,D1798535,1,0
9905,D2871920,1,0
14232,D610993,1,0
14553,D262483,1,0
21175,D3073695,1,0
21368,D1168452,1,0
22196,D1038283,1,0
22290,D2918403,1,0
26640,D3134622,1,0
29375,D2274323,1,0
30388,D36110,1,0
30604,D1033786,1,0
30685,D1016094,1,0
32125,D472429,1,0
34696,D5248,1,0
37331,D3000169,1,0
40182,D143653,1,0
40713,D2238714,1,0
45316,D2806801,1,0
47516,D2894591,1,0
48850,D3234050,1,0
50026,D375884,1,0
50456,D289110,1,0
50642,D3218836,1,0
52535,D2412429,1,0
63712,D1354175,1,0
73040,D1693607,1,0
76509,D2407523,1,0
76787,D2029266,1,0
77785,D498264,1,0
78535,D1570401,1,0
79242,D2020411,1,0
79758,D1939197,1,0
82309,D358877,1,0
86929,D2952052,1,0
88193,D1472075,1,0
95722,D725557,1,0
95763,D86169,1,0
97020,D683502,1,0
97917,D1339454,1,0
98744,D2607907,1,0
98839,D1640202,1,0
99512,D316541,1,0
100164,D3045060,1,0
104892,D904530,1,0
105931,D758999,1,0
106970,D290592,1,0
108039,D2954001,1,0
112663,D366197,1,0
121078,D1717407,1,0
123222,D1282700,1,0
126864,D173810,1,0
127219,D2669117,1,0
130326,D2669188,1,0
130531,D1171741,1,0
130536,D2731781,1,0
131019,D1265764,1,0
135556,D2814426,1,0
135575,D345306,1,0
136993,D329220,1,0
143243,D3231726,1,0
145475,D2170805,1,0
153021,D154036,1,0
153578,D1068638,1,0
158429,D2262115,1,0
158917,D285133,1,0
162396,D762151,1,0
164707,D2798616,1,0
164778,D2132671,1,0
169986,D2811547,1,0
170319,D2094112,1,0
173701,D406157,1,0
175152,D467931,1,0
176324,D3138,1,0
176464,D1302043,1,0
177890,D146319,1,0
178800,D2733676,1,0
179636,D2315549,1,0
179775,D2503961,1,0
185380,D985673,1,0
187900,D209422,1,0
188761,D184947,1,0
190761,D2742269,1,0
193896,D123734,1,0
204859,D2801715,1,0
205055,D2808186,1,0
213300,D31515,1,0
219168,D2487035,1,0
222463,D159726,1,0
224310,D598649,1,0
224516,D389497,1,0
225775,D868058,1,0
230232,D3017565,1,0
236899,D1130523,1,0
237975,D1875046,1,0
239686,D844010,1,0
250520,D993263,1,0
250546,D794864,1,0
251621,D605081,1,0
252965,D1150402,1,0
253109,D246496,1,0
253618,D2917795,1,0
254067,D52237,1,0
262571,D466889,1,0
268283,D12080,1,0
268672,D467563,1,0
270064,D360327,1,0
275445,D1875621,1,0
278339,D1219741,1,0
283573,D1387428,1,0
283988,D187823,1,0
284235,D2736973,1,0
284312,D2856337,1,0
285728,D1140897,1,0
289071,D1399767,1,0
295830,D2484317,1,0
296119,D3085094,1,0
296499,D2994518,1,0
298383,D2995880,1,0
299872,D2359867,1,0
300617,D341733,1,0
304862,D20896,1,0
305463,D2598298,1,0
305653,D2731595,1,0
318500,D383330,1,0
319292,D3023369,1,0
320941,D540412,1,0
322476,D1626678,1,0
323455,D2762586,1,0
325100,D1209356,1,0
325419,D54870,1,0
325446,D1002492,1,0
329378,D1165702,1,0
330063,D13535,1,0
330226,D910314,1,0
330491,D2570968,1,0
330628,D221705,1,0
330724,D473643,1,0
333942,D374437,1,0
340485,D284382,1,0
341508,D235163,1,0
349624,D977098,1,0
353199,D1287984,1,0
369818,D3180445,1,0
383548,D287677,1,0
386484,D1171756,1,0
389414,D1262882,1,0
389601,D1103680,1,0
394566,D1102825,1,0
395983,D853275,1,0
396431,D1008093,1,0
399552,D978348,1,0
401607,D1372538,1,0
402445,D1248319,1,0
405079,D776073,1,0
407299,D1112824,1,0
408999,D159420,1,0
410042,D3232987,1,0
412331,D752672,1,0
412590,D759610,1,0
413260,D6640,1,0
414671,D298795,1,0
414966,D789330,1,0
423125,D1382963,1,0
429785,D1299683,1,0
438845,D128956,1,0
438926,D674075,1,0
439804,D656155,1,0
442639,D2892973,1,0
445757,D953287,1,0
446647,D151248,1,0
